SampleID,Species,Location,NReads_new,DOC_x,BOC%_1x,BOC%_5x,BOC%_10x
sca0142,S.catenatus,KBPP,155684923,13.4819,96.4405,93.2389,76.1894
sca0143,S.catenatus,KBPP,168045196,14.5425,98.9737,95.1147,78.3475
sca0144,S.catenatus,KBPP,176987660,7.6215,97.9746,75.5828,25.6271
sca0180,S.catenatus,KBPP,144876524,10.8765,94.542,54.708,24.8978
sca0186,S.catenatus,KBPP,148159459,12.7457,98.9964,93.6401,68.0453
sca0226,S.catenatus,KBPP,161732924,13.985,98.9354,94.722,75.5016
sca0236,S.catenatus,KBPP,159165040,13.7684,98.9815,94.8063,75.4586
sca0242,S.catenatus,KBPP,179588842,7.68589,98.1678,77.4402,25.9572
sca0254,S.catenatus,KBPP,149595973,13.0654,98.9546,94.1118,72.4907
sca0260,S.catenatus,KBPP,151691435,13.1599,96.471,93.3477,75.0042
sca0673,S.catenatus,ROME,143046485,12.2385,99.0614,93.2146,66.429
sca0678,S.catenatus,ROME,174517518,16.3764,96.3987,94.1935,87.0892
sca0689,S.catenatus,KLDR,170423372,15.9948,98.9574,95.9592,83.3671
sca0693,S.catenatus,KLDR,135635232,11.9035,99.0046,93.2143,66.3675
sca0694,S.catenatus,KLDR,167407830,14.9699,99.2017,95.8187,81.2299
sca0700,S.catenatus,KLDR,279355144,26.0428,99.0945,97.8671,94.693
sca0707,S.catenatus,KLDR,108382608,10.1599,98.7158,88.0224,48.2089
sca0708,S.catenatus,KLDR,157804344,14.7863,99.0835,95.5733,80.117
sca0709,S.catenatus,KLDR,162831419,14.5991,99.255,95.7214,79.9617
sca0713,S.catenatus,ROME,127106381,10.2728,98.9743,89.7024,51.9258
sca0724,S.catenatus,ROME,164832722,14.293,99.1722,95.3685,77.7336
sca0729,S.catenatus,ROME,133463102,11.5229,99.0906,92.4791,62.4119
sca0732,S.catenatus,SPVY,148874643,12.7624,96.4032,92.6963,70.7786
sca0734,S.catenatus,KLDR,106297510,10.0074,96.1736,87.4993,47.1741
sca0742,S.catenatus,KLDR,190435200,17.5158,99.1091,96.6452,85.9541
sca0744,S.catenatus,SPVY,170916046,16.0788,98.9578,96.0263,83.9766
sca0750,S.catenatus,KLDR,150242620,13.2331,99.1171,94.2968,73.0736
sca0801,S.catenatus,SSSP,112669604,10.65,98.6049,89.7055,54.7285
sca0802,S.catenatus,SSSP,179669474,15.8637,99.0402,95.3216,80.5459
sca0807,S.catenatus,SSSP,131803420,12.4496,98.6793,92.5836,67.3135
sca0808,S.catenatus,SSSP,183095162,17.2105,99.0777,96.5968,86.6764
sca0809,S.catenatus,SSSP,163753288,15.3705,98.9643,95.5157,81.4845
sca0810,S.catenatus,SSSP,187402589,16.6571,99.1158,96.4352,85.6378
sca0812,S.catenatus,SSSP,142860512,12.2517,98.9556,92.9697,66.6462
sca0863,S.catenatus,MOSQ,159010179,13.6588,99.0025,94.5529,74.6503
sca0884,S.catenatus,SPVY,136954312,12.8428,98.8574,93.5344,69.9145
sca0885,S.catenatus,SPVY,156114077,13.4313,98.9781,94.3154,72.8445
sca0886,S.catenatus,SPVY,319589844,27.0163,96.9728,95.7105,94.3606
sca0887,S.catenatus,SPVY,134762460,12.6959,98.8113,93.5357,70.3288
sca0888,S.catenatus,SPVY,162915614,14.1995,99.0638,94.8856,79.6506
sca0893,S.catenatus,MOSQ,163958447,14.0612,99.0527,95.0197,76.0728
sca0924,S.catenatus,CCRO,139310815,12.1542,99.117,93.2361,66.6034
sca0925,S.catenatus,CCRO,142038746,13.3013,98.7947,94.1951,74.1859
sca0926,S.catenatus,CCRO,180575058,17.0445,98.9811,96.2862,85.7525
sca0931,S.catenatus,CCRO,200906612,18.8993,99.0061,96.9902,89.4466
sca0932,S.catenatus,CCRO,150729267,13.0205,99.1632,91.7694,59.9254
sca0933,S.catenatus,CCRO,126014146,11.7386,96.3044,91.4659,63.4863
sca0939,S.catenatus,MOSQ,150092809,13.0261,98.9536,94.096,72.071
sca0940,S.catenatus,MOSQ,154254129,13.34,98.9829,94.3356,72.9843
sca0962,S.catenatus,CCRO,93162689,8.10998,98.3659,81.0758,30.6875
sca0965,S.catenatus,CCRO,129688889,11.0899,96.1935,91.0789,60.1862
sca0966,S.catenatus,CCRO,106893432,10.033,96.259,87.8163,47.8307
sca0967,S.catenatus,CCRO,107012606,10.1104,95.8317,87.7932,51.8435
sca0968,S.catenatus,CCRO,172995768,15.2498,99.2371,96.1445,82.0673
sca0978,S.catenatus,SSSP,189904234,16.5514,99.1301,96.3959,85.2181
sca0979,S.catenatus,SSSP,238343922,16.7243,98.8822,93.6937,77.1996
sca0980,S.catenatus,SSSP,125324057,11.0632,98.9784,91.1273,58.2513
sca0982,S.catenatus,SSSP,123962028,11.7443,98.6811,92.0829,64.4034
sca1018,S.catenatus,MOSQ,169405289,14.4364,98.9687,95.1911,78.0934
sca1019,S.catenatus,MOSQ,150654350,13.042,96.4643,93.2389,73.7465
sca1020,S.catenatus,MOSQ,141809700,12.3258,98.966,93.5353,67.8584
sca1023,S.catenatus,SPVY,197870392,17.0076,96.5968,94.6362,87.2915
sca1026,S.catenatus,MOSQ,152538554,13.2332,98.9946,94.3194,72.8805
sca1027,S.catenatus,PRDF,136899130,12.0934,98.9366,92.9898,67.0973
sca1028,S.catenatus,PRDF,153943265,13.3301,99.0814,94.417,74.0658
sca1029,S.catenatus,PRDF,159554014,13.831,98.9271,94.6174,75.0866
sca1030,S.catenatus,PRDF,173450059,15.1992,99.2554,95.9691,81.5339
sca1031,S.catenatus,SPVY,109235052,9.15347,96.5042,79.5288,33.2286
sca1035,S.catenatus,MOSQ,167512181,13.7069,96.4775,93.2271,76.1483
sca1036,S.catenatus,PRDF,166406815,13.3374,98.9346,94.0911,72.2722
sca1037,S.catenatus,PRDF,222612488,20.6035,99.2544,97.6269,91.5849
sca1038,S.catenatus,PRDF,319986062,27.2638,99.2433,98.271,95.2258
sca1050,S.catenatus,MOSQ,162630868,13.2976,96.4283,93.3034,74.9918
sca1055,S.catenatus,PRDF,164958986,13.4106,96.4474,93.3582,75.6605
sca1057,S.catenatus,PRDF,290346910,25.2127,99.1765,97.8987,93.918
sca1058,S.catenatus,SPVY,162750421,12.6198,96.4184,92.696,71.0345
sca1078,S.catenatus,PRDF,190933666,15.8374,99.3304,95.7445,78.0127
Sca1223,S.catenatus,WLRD,154818485,12.7826,96.5364,93.3832,73.4693
Sca1224,S.catenatus,WLRD,214928881,17.855,99.2073,97.1962,87.9078
Sca1227,S.catenatus,WLRD,215776727,18.1696,96.7496,94.933,90.1191
Sca1228,S.catenatus,WLRD,180650342,15.1302,99.0834,96.0127,81.8917
Sca1229,S.catenatus,WLRD,164524919,13.4221,99.0334,93.4142,70.6292
Sca1230,S.catenatus,WLRD,153616804,12.7394,98.9634,94.0909,70.6623
Sca1231,S.catenatus,WLRD,169956632,14.2472,99.118,95.4062,78.484
Sca1259,S.catenatus,WLRD,130106867,10.9017,96.411,91.3276,59.5825
Sca1266,S.catenatus,WLRD,152727060,12.7595,96.5155,93.3024,74.0418
sca1272,S.catenatus,ROME,148588159,12.1281,99.0445,93.0463,65.7772
sca1372,S.catenatus,ROME,191122682,16.0805,99.2091,96.4194,83.7616
sca1379,S.catenatus,ROME,130445060,10.6746,98.972,90.3508,54.4974
sca1381,S.catenatus,ROME,145324521,11.6642,99.0854,92.126,61.725
sca1395,S.catenatus,ROME,161560001,12.8507,96.6186,93.2902,72.4932
sca1453,S.catenatus,GRLL,195023586,17.906,99.0977,96.9459,87.9105
Sca1515,S.catenatus,WLRD,175441055,14.7365,99.1116,95.8915,80.847
sca1529,S.catenatus,CEBO,189051014,17.8613,99.1954,96.9339,87.4039
sca1530,S.catenatus,CEBO,132511136,12.5433,98.7888,93.1071,68.6551
sca1531,S.catenatus,CEBO,178635677,14.8871,99.0252,95.5697,79.4978
sca1532,S.catenatus,CEBO,106755936,10.0806,98.5288,88.2204,49.1866
sca1535,S.catenatus,CEBO,48792040,4.46045,92.88,43.2248,4.65511
sca1536,S.catenatus,CEBO,156386850,12.9737,98.8981,93.6672,69.9408
sca1541,S.catenatus,CEBO,145165880,11.9772,98.8354,92.3488,63.7362
sca1542,S.catenatus,CEBO,113081832,10.6897,96.0462,90.2202,57.5229
sca1543,S.catenatus,CEBO,167095558,13.4931,98.9486,92.9719,67.6383
Sca461,S.catenatus,BPNP,189546573,16.0129,96.6324,94.4332,86.4053
Sca465,S.catenatus,BPNP,164947505,13.9578,99.0542,95.3319,77.8648
Sca472,S.catenatus,BPNP,175551637,14.4897,99.0213,95.276,78.014
Sca529,S.catenatus,BPNP,149944076,12.4132,99.0157,93.6763,68.4544
Sca531,S.catenatus,BPNP,130228265,10.8578,96.4183,91.1725,58.2869
Sca549,S.catenatus,BPNP,138991547,11.708,98.9671,92.8324,64.3683
Sca600,S.catenatus,BPNP,177823190,14.7613,99.0473,95.7608,80.8249
Sca604,S.catenatus,BPNP,167185027,14.1079,96.5372,93.8586,80.5259
Sca636,S.catenatus,BPNP,172684841,14.7161,99.0466,95.6895,80.5047
Sca651,S.catenatus,BPNP,182039513,14.542,96.5898,94.1783,82.6555
