Chr,Start,End
Scate-ma1,20748769,20782410
Scate-ma1,37372696,37395009
Scate-ma1,59858286,59879352
Scate-ma1,59812196,59819411
Scate-ma1,63138295,63159435
Scate-ma1,63340306,63368544
Scate-ma1,67920238,67952138
Scate-ma1,78777722,78806412
Scate-ma1,87613012,87614034
Scate-ma1,99675466,99692600
Scate-ma1,118992228,119002608
Scate-ma1,130962042,130970748
Scate-ma1,158052805,158067586
Scate-ma1,167329878,167369716
Scate-ma1,171868870,171898778
Scate-ma1,172080096,172087957
Scate-ma1,188687296,188694769
Scate-ma1,189890351,189896305
Scate-ma1,192744997,192781949
Scate-ma1,211193325,211211628
Scate-ma1,221908507,221927167
Scate-ma1,222311588,222338600
Scate-ma1,220813112,220840441
Scate-ma1,223149282,223150523
Scate-ma1,226982824,226984452
Scate-ma1,236779564,236810353
Scate-ma1,239010559,239037914
Scate-ma1,246834834,246859821
Scate-ma1,256419838,256461135
Scate-ma1,253851956,253875197
Scate-ma1,300529152,300544515
Scate-ma1,314084561,314118981
Scate-ma1,324270398,324274393
Scate-ma1,327723856,327750780
Scate-ma1,332455693,332478968
Scate-ma1,333452222,333483901
Scate-ma1,335226258,335231042
Scate-ma1,336240822,336250669
Scate-ma1,336353049,336370891
Scate-ma1,336179231,336202457
Scate-ma2,2856438,2860059
Scate-ma2,4568721,4579191
Scate-ma2,6218067,6218650
Scate-ma2,17942367,17965581
Scate-ma2,28932980,28956657
Scate-ma2,30599121,30648325
Scate-ma2,40036545,40075434
Scate-ma2,64883906,64918907
Scate-ma2,68240841,68323807
Scate-ma2,69214472,69243806
Scate-ma2,74620116,74627347
Scate-ma2,77537273,77539741
Scate-ma2,77499047,77525557
Scate-ma2,80069997,80073251
Scate-ma2,80988884,80990674
Scate-ma2,85931226,85946728
Scate-ma2,91159213,91163195
Scate-ma2,108000123,108022322
Scate-ma2,113055871,113064894
Scate-ma2,113138543,113141579
Scate-ma2,123664811,123674173
Scate-ma2,135607104,135615378
Scate-ma2,136080903,136104242
Scate-ma2,136797134,136810353
Scate-ma2,145005946,145025851
Scate-ma2,145069456,145072957
Scate-ma2,145229609,145241266
Scate-ma2,155383473,155397064
Scate-ma2,155446187,155460966
Scate-ma2,156408145,156412200
Scate-ma2,176137385,176163890
Scate-ma2,197716810,197722969
Scate-ma2,200875023,200921725
Scate-ma2,205753719,205766319
Scate-ma2,211282574,211308697
Scate-ma2,217887234,217901991
Scate-ma2,219559427,219575906
Scate-ma2,238307560,238316014
Scate-ma2,238737054,238748575
Scate-ma2,238666619,238706038
Scate-ma2,240349153,240363954
Scate-ma2,240806586,240816071
Scate-ma2,244138961,244144890
Scate-ma2,246196352,246210511
Scate-ma2,251755164,251759580
Scate-ma2,252883801,252891210
Scate-ma2,257058666,257065086
Scate-ma2,256790319,256806796
Scate-ma2,256976204,256983283
Scate-ma2,257194267,257197202
Scate-ma2,257116243,257128761
Scate-ma3,860690,891191
Scate-ma3,3942371,3946465
Scate-ma3,6736408,6747080
Scate-ma3,21446130,21476665
Scate-ma3,23972420,23985535
Scate-ma3,30133358,30157217
Scate-ma3,43330158,43384526
Scate-ma3,44858288,44886582
Scate-ma3,46383013,46407549
Scate-ma3,80332456,80373718
Scate-ma3,84381332,84383984
Scate-ma3,84830168,84854299
Scate-ma3,92681308,92701985
Scate-ma3,93191990,93201700
Scate-ma3,93024643,93074894
Scate-ma3,109219292,109232689
Scate-ma3,117492347,117505779
Scate-ma3,117597527,117609988
Scate-ma3,118257685,118261481
Scate-ma3,125299853,125322361
Scate-ma3,128385838,128402452
Scate-ma3,139716722,139741687
Scate-ma3,141468789,141499655
Scate-ma3,153113146,153126892
Scate-ma3,156774600,156782952
Scate-ma3,160259899,160268880
Scate-ma3,161232415,161234768
