CHROM POS
Scate-ma1 967
Scate-ma1 2002467
Scate-ma1 3002538
Scate-ma1 7002768
Scate-ma1 8002802
Scate-ma1 11003307
Scate-ma1 12003428
Scate-ma1 15003575
Scate-ma1 16003905
Scate-ma1 17004242
Scate-ma1 18004345
Scate-ma1 19004568
Scate-ma1 20005330
Scate-ma1 23005600
Scate-ma1 25008747
Scate-ma1 28011924
Scate-ma1 29012521
Scate-ma1 31013068
Scate-ma1 33014469
Scate-ma1 36015521
Scate-ma1 38016088
Scate-ma1 39017348
Scate-ma1 41017580
Scate-ma1 42017702
Scate-ma1 44020560
Scate-ma1 45021064
Scate-ma1 47021204
Scate-ma1 48021320
Scate-ma1 53022877
Scate-ma1 54024147
Scate-ma1 56024710
Scate-ma1 57024859
Scate-ma1 62026954
Scate-ma1 63027455
Scate-ma1 65027900
Scate-ma1 66028445
Scate-ma1 68029422
Scate-ma1 69029743
Scate-ma1 73035343
Scate-ma1 76038470
Scate-ma1 77038811
Scate-ma1 78039029
Scate-ma1 80039332
Scate-ma1 83047342
Scate-ma1 85047369
Scate-ma1 86047379
Scate-ma1 88047519
Scate-ma1 90047687
Scate-ma1 92051323
Scate-ma1 95058914
Scate-ma1 96059079
Scate-ma1 97059816
Scate-ma1 101060179
Scate-ma1 103060316
Scate-ma1 105061866
Scate-ma1 106062516
Scate-ma1 109063193
Scate-ma1 110063454
Scate-ma1 111063685
Scate-ma1 112063736
Scate-ma1 114063841
Scate-ma1 115064223
Scate-ma1 118065116
Scate-ma1 119065486
Scate-ma1 121065552
Scate-ma1 122065619
Scate-ma1 125066670
Scate-ma1 126066799
Scate-ma1 128067143
Scate-ma1 130068446
Scate-ma1 134070954
Scate-ma1 136071885
Scate-ma1 139072921
Scate-ma1 140073972
Scate-ma1 141074135
Scate-ma1 142075358
Scate-ma1 143076109
Scate-ma1 144076168
Scate-ma1 147078487
Scate-ma1 148079006
Scate-ma1 153081229
Scate-ma1 158081982
Scate-ma1 160082683
Scate-ma1 161085598
Scate-ma1 163093467
Scate-ma1 164095853
Scate-ma1 168100946
Scate-ma1 171106971
Scate-ma1 172107327
Scate-ma1 173107376
Scate-ma1 175107680
Scate-ma1 177108204
Scate-ma1 180110500
Scate-ma1 181110545
Scate-ma1 183110640
Scate-ma1 185110758
Scate-ma1 187112529
Scate-ma1 190113677
Scate-ma1 191114819
Scate-ma1 192116015
Scate-ma1 194116218
Scate-ma1 195116300
Scate-ma1 199117333
Scate-ma1 200117372
Scate-ma1 202117939
Scate-ma1 204119665
Scate-ma1 206120287
